session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
k1hxkkab,8,akn7tcv5,17,debate,Calificacion,1731090093,1,0,0
k1hxkkab,11,ab0ukpg2,17,debate,Calificacion,1731090096,1,0,0
k1hxkkab,9,fewonbrz,17,debate,Calificacion,1731090097,1,0,0
k1hxkkab,1,i0g0hve8,17,debate,Calificacion,1731090112,1,0,0
k1hxkkab,2,3gfleihj,17,debate,Calificacion,1731090114,1,0,0
k1hxkkab,5,t38ifg4p,17,debate,Calificacion,1731090118,1,0,0
k1hxkkab,7,2av5nbe5,17,debate,Calificacion,1731090135,1,0,0
k1hxkkab,6,vdz27tkv,17,debate,Calificacion,1731090144,1,0,0
k1hxkkab,10,cqd95f9g,17,debate,Calificacion,1731090159,1,0,0
k1hxkkab,12,ixp6t6rj,17,debate,Calificacion,1731090165,1,0,0
k1hxkkab,1,i0g0hve8,18,debate,Espera_Argumentos_a_calificar2,1731090165,1,0,1
k1hxkkab,8,akn7tcv5,18,debate,Espera_Argumentos_a_calificar2,1731090165,1,0,1
k1hxkkab,9,fewonbrz,18,debate,Espera_Argumentos_a_calificar2,1731090165,1,0,1
k1hxkkab,5,t38ifg4p,18,debate,Espera_Argumentos_a_calificar2,1731090165,1,0,1
k1hxkkab,6,vdz27tkv,18,debate,Espera_Argumentos_a_calificar2,1731090165,1,0,1
k1hxkkab,3,sc8lbs96,18,debate,Espera_Argumentos_a_calificar2,1731090165,1,0,1
k1hxkkab,4,tozx4h6f,18,debate,Espera_Argumentos_a_calificar2,1731090165,1,0,1
k1hxkkab,11,ab0ukpg2,18,debate,Espera_Argumentos_a_calificar2,1731090165,1,0,1
k1hxkkab,7,2av5nbe5,18,debate,Espera_Argumentos_a_calificar2,1731090165,1,0,1
k1hxkkab,12,ixp6t6rj,18,debate,Espera_Argumentos_a_calificar2,1731090165,1,0,1
k1hxkkab,2,3gfleihj,18,debate,Espera_Argumentos_a_calificar2,1731090165,1,0,1
k1hxkkab,10,cqd95f9g,18,debate,Espera_Argumentos_a_calificar2,1731090165,1,0,1
k1hxkkab,12,ixp6t6rj,19,debate,Siguiente_etapa,1731090210,1,0,0
k1hxkkab,11,ab0ukpg2,19,debate,Siguiente_etapa,1731090215,1,0,0
k1hxkkab,4,tozx4h6f,19,debate,Siguiente_etapa,1731090216,1,0,0
k1hxkkab,11,ab0ukpg2,21,conflict,Introduction,1731090256,1,0,0
k1hxkkab,9,fewonbrz,19,debate,Siguiente_etapa,1731090261,1,0,0
k1hxkkab,4,tozx4h6f,21,conflict,Introduction,1731090270,1,0,0
k1hxkkab,8,akn7tcv5,19,debate,Siguiente_etapa,1731090272,1,0,0
k1hxkkab,2,3gfleihj,19,debate,Siguiente_etapa,1731090274,1,0,0
k1hxkkab,12,ixp6t6rj,21,conflict,Introduction,1731090287,1,0,0
k1hxkkab,4,tozx4h6f,22,conflict,Decision,1731090290,1,0,0
k1hxkkab,3,sc8lbs96,19,debate,Siguiente_etapa,1731090290,1,0,0
k1hxkkab,11,ab0ukpg2,22,conflict,Decision,1731090295,1,0,0
k1hxkkab,6,vdz27tkv,19,debate,Siguiente_etapa,1731090301,1,0,0
k1hxkkab,12,ixp6t6rj,22,conflict,Decision,1731090309,1,0,0
k1hxkkab,10,cqd95f9g,19,debate,Siguiente_etapa,1731090309,1,0,0
k1hxkkab,12,ixp6t6rj,23,conflict,ResultsWaitPage,1731090309,1,0,1
k1hxkkab,11,ab0ukpg2,23,conflict,ResultsWaitPage,1731090309,1,0,1
k1hxkkab,9,fewonbrz,21,conflict,Introduction,1731090315,1,0,0
k1hxkkab,12,ixp6t6rj,26,conflict,Decision,1731090321,2,0,0
k1hxkkab,8,akn7tcv5,21,conflict,Introduction,1731090326,1,0,0
